En el quinto filtro se busca obtener los anuncios que tengan 1 baño o que sean superhost pero con la condición de que todos sean instant bookable
,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
792,45284159,https://www.airbnb.com/rooms/45284159,20240923134023,2024-09-23,city scrape,Redland Stay In Bespoke Home 1 of 2,"This beautiful bespoke home is one of two properties built on the site of an old bakery in the heart of Redland. <br />Bringing a modern and contemporary edge to a traditionally Georgian street, it's curved walls and sleek interior give a truly unique experience. <br />This property is in a prime location for exploring Whiteladies & Gloucester Rd which both host an array of bars and restaurants and just a short walk from the beautiful open spaces of Bristol downs as well as the historic Clifton Village.","Set in the heart of Redland, there is something to see no matter which direction you head in. Surrounded by traditional streets with local Old English pubs and beautiful houses, there is plenty to see and admire. <br /><br />A little further afield is Whiteladies road (5 min walk) <br />Gloucester road (15 min walk) <br />Bristol Downs (10 min walk) <br />Clifton suspension bridge (30 min walk) <br />Clifton village (30 min walk)<br />Cabot circus (35 min walk) <br />Bristol Harbourside (30 min walk) <br /><br />Making it an ideal location for seeing the best Bristol has to offer!",https://a0.muscache.com/pictures/prohost-api/Hosting-45284159/original/e688ef5b-2edf-4625-9052-839d6ebcecb3.jpeg,236481623,https://www.airbnb.com/users/show/236481623,Mairead June,2019-01-14,"Bristol, United Kingdom","Bespoke Cultural Escapes (BCE)

We are a professional serviced accommodation superhost with properties in Bristol and Bath. 

We specialise in providing great accommodation for leisure stays, business and contractor stays as well as relocation stays.

Looking for a place to stay in Bristol, Bath or North Somerset? Book with us! 

Our team will be more than happy to help you :)

Check out our Insta - @airbnb_bce",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-236481623/original/9594bf09-9f1c-438b-a5e3-4d43dfdaf3a0.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-236481623/original/9594bf09-9f1c-438b-a5e3-4d43dfdaf3a0.png?aki_policy=profile_x_medium,,52,71,"['email', 'phone']",t,t,Neighborhood highlights,Cotham,,51.47134,-2.60788,Entire home,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"[""Oven"", ""Induction stove"", ""Dining table"", ""Dishwasher"", ""Portable fans"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Refrigerator"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Iron"", ""Lockbox"", ""Toaster"", ""Cooking basics"", ""Pack \u2019n play/Travel crib - available upon request"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Central heating"", ""Crib"", ""Cleaning products"", ""Self check-in"", ""High chair - available upon request"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Microwave""]",$114.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,26,56,86,361,2024-09-23,107,11,2,2020-09-22,2024-09-09,4.89,4.88,4.85,4.96,4.92,4.93,4.65,,t,46,46,0,0,2.19
798,45357444,https://www.airbnb.com/rooms/45357444,20240923134023,2024-09-23,city scrape,Modern & Stylish 1 bed flat in Bristol,"Let yourself in, at your convenience, with self check-in. Enjoy our professionally cleaned and maintained property, where fluffy pillows, fresh bed linen, towels and other necessities are all provided. The property will be entirely yours for the duration of your stay. Please get in touch with us if you wish to enquire about long stay bookings!",The property has excellent local amenities and easy access to the city and commuter links. The city centre is walkable and there is direct and frequent public transport. There are trains from Montpelier station to Temple Meads and Bristol Parkway and the M32 is easily accessed.,https://a0.muscache.com/pictures/prohost-api/Hosting-45357444/original/8e933c26-5549-4895-b0f3-3ae7e7443dcd.jpeg,365762106,https://www.airbnb.com/users/show/365762106,Ruth,2020-09-03,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/46547c10-c52f-48b9-9b69-41feb8288deb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/46547c10-c52f-48b9-9b69-41feb8288deb.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Bishopston & Ashley Down,,51.48304,-2.59829,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Oven"", ""Clothing storage: wardrobe"", ""Dining table"", ""Hot water kettle"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Drying rack for clothing"", ""Smoke alarm"", ""Lockbox"", ""Bathtub"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Self check-in"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$85.00,1,1125,2.0,4.0,365.0,365.0,3.4,365.0,,t,3,3,3,179,2024-09-23,108,36,4,2020-09-21,2024-09-21,4.5,4.63,4.36,4.81,4.72,4.49,4.47,,t,1,1,0,0,2.21
810,45490753,https://www.airbnb.com/rooms/45490753,20240923134023,2024-09-23,city scrape,Anstey Heights - Apartment 3 - Hopewell,"Our amazing and modern apartments is the perfect place for you to stay while in Bristol! In such an amazing location, close to local bars, pubs, Bristol Hawks gym. This apartment is a great place to stay for 1 night or more! <br /><br />All of our apartments have been made to an amazing standard, and you can see how lovely and bright they look. This is great for that homely feel after a long day at work.","This is in the great neighbourhood of Easton, with local parks and bustling streets moments away. <br /><br />With the popular St Marks Road around the corner, you'll find plenty of choice for eating or takeout, like Dela (incredible Swedish inspired bowl food), Thali Cafe (award winning Indian restaurant and Eco Tiffin takeaway), the East Bristol Bakery (real bread, no preservatives, lots of Sourdough) and loads more (No. 12, Este Kitchen, Greenbank Pub and so on). <br /><br />For groceries there's the generation-spanning behemoth Bristol Sweet Mart, selling all kinds of incredible produce from around the world, or Matter Whole Foods which does all things organic.",https://a0.muscache.com/pictures/prohost-api/Hosting-45490753/original/38588579-c312-443a-a760-0d61be658812.jpeg,65192629,https://www.airbnb.com/users/show/65192629,Hopewell,2016-03-31,"Bristol, United Kingdom","Hello we are Hopewell and welcome to our profile. We are dedicated to making sure you enjoy your stay in one of our many homes, be that in the city centre, Clifton or beyond.
We are here to help you enjoy your time with us and get the best out of what Bristol has to offer. 
Our team really has great knowledge of the area so please feel free to ask us any questions.  We are all really passionate about our great city, and are excited about others coming to explore all it has to offer.
Everyone has a role to play in the team, so there is always someone to look after you.
We are experts in Airbnb which started from looking after our own properties, to friends, to the whole of Bristol and beyond. 

We look forward to having you to stay!

",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/8f002c1b-6f2b-4486-ba4d-e0132b7becad.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8f002c1b-6f2b-4486-ba4d-e0132b7becad.jpg?aki_policy=profile_x_medium,,183,466,"['email', 'phone']",t,t,Neighborhood highlights,Easton,,51.466076,-2.563031,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Oven"", ""Dishwasher"", ""Stove"", ""Hot water kettle"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Long term stays allowed"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$69.00,1,365,1.0,3.0,365.0,365.0,1.3,365.0,,t,27,57,87,360,2024-09-23,19,6,0,2021-05-09,2024-06-27,4.16,4.47,4.53,4.74,4.42,4.11,4.0,,t,145,135,3,0,0.46
829,45855089,https://www.airbnb.com/rooms/45855089,20240923134023,2024-09-23,city scrape,"Victoria House - 3 Bed, 3 Bath by Cliftonvalley","Recently refurbished end terrace house with 3 Bedrooms, 3 Bathrooms and a Fully Equipped Kitchen.",Great location just 50m from Victoria Park.  1.4 miles to Bristol City Centre.,https://a0.muscache.com/pictures/e14c29f0-86ce-48b2-9f34-5c3cab50e778.jpg,16630323,https://www.airbnb.com/users/show/16630323,Matt,2014-06-10,"Bristol, United Kingdom","Serviced Accommodation Provider and Web Developer living in Bishopston, Bristol",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/cfec1bd1-042b-4ed6-9618-944afb7f886c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cfec1bd1-042b-4ed6-9618-944afb7f886c.jpg?aki_policy=profile_x_medium,,40,51,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Windmill Hill,,51.43736,-2.58434,Entire home,Entire home/apt,6,3.0,3 baths,3.0,4.0,"[""Oven"", ""Dishwasher"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Coffee maker: Nespresso"", ""Gas stove"", ""Outdoor furniture"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Fast wifi \u2013 53 Mbps"", ""Shower gel"", ""Smoke alarm"", ""Iron"", ""Free street parking"", ""Carbon monoxide alarm"", ""Private entrance"", ""Long term stays allowed"", ""Baking sheet"", ""Shared patio or balcony"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$162.00,3,1125,3.0,4.0,999.0,999.0,3.0,999.0,,t,26,56,86,86,2024-09-23,32,4,1,2020-10-19,2024-09-02,4.81,4.88,4.94,5.0,4.81,4.63,4.53,,t,19,19,0,0,0.67
843,47075756,https://www.airbnb.com/rooms/47075756,20240923134023,2024-09-23,city scrape,Chippings - Village life in the city. MyCityHaven,"Cosy home in beautiful Stapleton, a quiet location with all the feel of a village just minutes from the centre of Bristol. <br />As well as being a short drive to the city centre and M32, on the doorstep there are gorgeous river walks, local pubs, cafes and convenience shops.<br />Arranged over 2 floors, The Chippings offers light filled, flexible accommodation and is the ideal base from which to explore the city whether you're here for work or leisure.","Stapleton is a lovely village to walk around and explore.<br />Just outside the village you can enjoy peaceful nature walks along the river Frome, as well as Stoke Park Estate. <br />There's lots to enjoy!",https://a0.muscache.com/pictures/860634a2-d289-49ba-8cd4-9c26738335f0.jpg,51686051,https://www.airbnb.com/users/show/51686051,Michael,2015-12-18,"Bristol, United Kingdom","Welcome to MyCityHaven We're here to help you enjoy your stay with us in Bristol, Bath, South Wales and the South West of England. 

Find us online to book direct for the best rates!",within an hour,97%,97%,f,https://a0.muscache.com/im/pictures/user/f542490b-327d-400f-846d-9681c8b406a7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f542490b-327d-400f-846d-9681c8b406a7.jpg?aki_policy=profile_x_medium,,28,38,"['phone', 'work_email']",t,t,Neighborhood highlights,Frome Vale,,51.48564,-2.55196,Entire home,Entire home/apt,5,1.0,1 bath,3.0,5.0,"[""Private patio or balcony"", ""Hot water"", ""Pets allowed"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""TV"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Shampoo"", ""Fast wifi \u2013 219 Mbps"", ""Dishes and silverware"", ""Heating""]",$124.00,2,1125,2.0,3.0,1125.0,1125.0,2.8,1125.0,,t,19,49,77,343,2024-09-23,45,19,2,2021-02-06,2024-09-15,4.31,4.38,4.38,4.71,4.67,4.53,4.29,,t,20,20,0,0,1.02
846,47558346,https://www.airbnb.com/rooms/47558346,20240923134023,2024-09-23,city scrape,Short term lets from £20 per person per night,"IDEALLY SUITED FOR LARGE GROUPS, THAT ARE LOOKING FOR SOMEWHERE TO REST THEIR HEADS. PRICED ACCORDINGLY<br /><br />Large 2bed apartment that has the potential to sleep 6 people. <br />Property ideal for mid-week contractors, professionals or alternatively families looking to explore Bristol and its many attractions",,https://a0.muscache.com/pictures/miso/Hosting-47558346/original/b525487a-2069-49d6-b5db-d5f427882fb3.jpeg,382836301,https://www.airbnb.com/users/show/382836301,Dave,2021-01-03,,,within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/ea24b10f-cc1b-4854-9a05-befa6605f822.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ea24b10f-cc1b-4854-9a05-befa6605f822.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,,Eastville,,51.47486,-2.5479,Entire home,Entire home/apt,6,1.0,1 bath,2.0,6.0,"[""Iron"", ""Dryer"", ""Kitchen"", ""Self check-in"", ""Washer"", ""TV"", ""Hangers"", ""Smart lock"", ""First aid kit"", ""Wifi"", ""Essentials"", ""Private entrance"", ""Pets allowed"", ""Carbon monoxide alarm"", ""Heating"", ""Smoke alarm"", ""Dedicated workspace""]",$107.00,2,1125,2.0,3.0,1125.0,1125.0,2.2,1125.0,,t,6,16,28,100,2024-09-23,50,27,2,2021-03-05,2024-09-12,4.66,4.84,4.66,4.92,4.86,4.7,4.74,,t,2,2,0,0,1.15
858,48458924,https://www.airbnb.com/rooms/48458924,20240923134023,2024-09-23,city scrape,Cosy self-contained studio flat in Bristol,&zwj;,,https://a0.muscache.com/pictures/prohost-api/Hosting-48458924/original/61d1135a-3f00-44d4-aefa-fcea6f53e0b5.jpeg,310835509,https://www.airbnb.com/users/show/310835509,Travelnest,2019-11-20,,"Hello, we are the Travelnest Team and we offer more than 4000 properties worldwide.

From quaint cottages in the country to luxury villas by the sea, we have something for everyone!

When you book with Travelnest, we’ll make every effort to ensure you enjoy your stay. 

Please get in touch with us if you have any questions about our properties and we’ll do our best to help.",within an hour,96%,100%,f,https://a0.muscache.com/im/pictures/user/c04e934f-f7b7-4f87-84f0-9fa85d79013b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c04e934f-f7b7-4f87-84f0-9fa85d79013b.jpg?aki_policy=profile_x_medium,Flean More,1279,5358,"['email', 'phone']",t,t,,Frome Vale,,51.48237,-2.51566,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Oven"", ""Stove"", ""Freezer"", ""Coffee maker"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Outdoor furniture"", ""Refrigerator"", ""TV"", ""Smoke alarm"", ""Iron"", ""Toaster"", ""Private entrance"", ""City skyline view"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Heating"", ""Microwave""]",$90.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,29,59,89,364,2024-09-23,17,6,0,2021-07-02,2024-04-28,4.71,4.76,4.35,4.88,4.88,4.59,4.65,,t,2,2,0,0,0.43
868,49163707,https://www.airbnb.com/rooms/49163707,20240923134023,2024-09-23,city scrape,Central Apartment with parking and private Access,"Central period apartment with open plan kitchen/living/dining. Can sleep 1-6 persons and free parking on site<br /><br />King & double bedrooms to comfortably sleep 2/4 with a sofa bed in living room which can sleep an extra two persons giving 6 possible<br /><br />Located 50 yards from Cabot Circus and opposite the historic Portland Square, with its own private access and free on site parking available for 2 cars and private front and rear courtyards <br /><br />There is additional paid street parking available outside","Located 50 yards from Cabot Circus, set in the centre of Bristol, directly opposite the historic Portland Square.",https://a0.muscache.com/pictures/75b83d26-fed3-4499-923d-8b690d1066dc.jpg,99998716,https://www.airbnb.com/users/show/99998716,Lisa,2016-10-17,"England, United Kingdom",,within an hour,86%,100%,f,https://a0.muscache.com/im/pictures/user/77bfeced-04b3-4cd8-9d34-a6dc116c7987.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/77bfeced-04b3-4cd8-9d34-a6dc116c7987.jpg?aki_policy=profile_x_medium,,1,24,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.460442,-2.585876,Entire serviced apartment,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Oven"", ""Room-darkening shades"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Washer"", ""TV"", ""Patio or balcony"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Cooking basics"", ""First aid kit"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Clothing storage"", ""Dryer"", ""Free parking on premises"", ""Cleaning products"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating""]",$160.00,6,300,1.0,7.0,300.0,300.0,6.4,300.0,,t,18,48,78,88,2024-09-23,75,13,0,2021-05-03,2024-08-23,4.85,4.85,4.72,4.87,4.88,4.85,4.76,,t,1,1,0,0,1.81
874,49302679,https://www.airbnb.com/rooms/49302679,20240923134023,2024-09-23,city scrape,Bright & Beautiful Studio Flat in Bristol,"Welcome to our lovely light and sunny studio apartment, ideal for anyone looking to explore Bristol! We are Fiona and Clinton, and we can't wait to host you for your visit! The space has had a complete makeover and everything in the apartment including the bathroom, kitchen and even the windows have been replaced! We can't wait to welcome guests to our newly refurbished hideaway, located near a plethora of boutique shops and cafes to explore, whilst still in walking distance of the city centre.","The property itself is located in a fairly quiet resedential street, however you are just a 15-20 minute walk away from Gloucester Road. Here you will find a wide variety of independent shops, restaurants, pubs, bars and more!",https://a0.muscache.com/pictures/prohost-api/Hosting-49302679/original/a8f73a96-6c7d-4449-beda-ea38c4e1b926.jpeg,397813485,https://www.airbnb.com/users/show/397813485,Fiona,2021-04-20,"Bristol, United Kingdom",Hi! We are Fiona and Clinton and we'd love to host you at our pretty little studio flat in Bristol. ,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/1eecf601-587b-4904-87ee-0e3ed31afaea.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1eecf601-587b-4904-87ee-0e3ed31afaea.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Westbury-on-Trym & Henleaze,,51.47812,-2.60839,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Cleaning available during stay"", ""Oven"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Shampoo"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""HDTV"", ""First aid kit"", ""Carbon monoxide alarm"", ""Self check-in"", ""Cleaning products"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$74.00,1,1125,1.0,4.0,365.0,365.0,3.4,365.0,,t,14,37,67,332,2024-09-23,97,25,3,2021-05-03,2024-09-09,4.84,4.95,4.88,4.87,4.9,4.8,4.7,,t,1,1,0,0,2.35
880,49719617,https://www.airbnb.com/rooms/49719617,20240923134023,2024-09-23,city scrape,Sleeps 16! Four Flats with Private Access & Garden,"Located in St Agnes, a short 15 min walk to the trendy, cultrally diverse, vibrant area of Stokes Croft which is always buzzing with activity. Here you will find plenty of bars, restaurants and a number of local events throughout the year.<br /><br />Check out the 'where you'll be' section for local & group recommendations!<br /><br />Cabot Circus Shopping Centre is just a 12 min walk from the property, the city centre only a short walk from there. A perfect base for groups to stay ready to explore Bristol!","Located in St Agnes, only a short 15 minute walk to the trendy, cultrally diverse, virbant area of Stokes Croft which is always buzzing with activity. Here you will find plenty of bars, restaurants and a number of local events throughout the year.<br /><br />Walking Distance from the property:<br />-The Duke of York Pub: 3 min walk <br />-Fierce & Noble: Craft Brewery: 5 min walk<br />-Napolita Cafe: Great breakfast & Italian food: 7 minute walk<br />-Coral cafe: Coffee, Iced coffee, Pastries, Smoothies, sandwiches, rolls, Paninis: 3 minute walk<br />-Namak Indian Dining: 7 minute walk<br />-Liyas: Middle Eastern Restaurant & Takeaway: 7 minute walk<br />-Spar Mina Road: 7 minute walk<br />-Popti & Beast Butchers: They do breakfast as well as burgers and chips! 7 min walk <br />-Wiper & True Brewery: 7 min walk<br /><br />Recommendation for groups in Bristol:<br />-Fight Club Bristol<br />-Four Quarters Bar<br />-Blame Gloria<br />-Revolution Bristol<br />-Slug & Lettuce<br />-Lola Lo ",https://a0.muscache.com/pictures/miso/Hosting-49719617/original/44a6c986-cd01-4275-9189-31512b5d98b8.jpeg,236481623,https://www.airbnb.com/users/show/236481623,Mairead June,2019-01-14,"Bristol, United Kingdom","Bespoke Cultural Escapes (BCE)

We are a professional serviced accommodation superhost with properties in Bristol and Bath. 

We specialise in providing great accommodation for leisure stays, business and contractor stays as well as relocation stays.

Looking for a place to stay in Bristol, Bath or North Somerset? Book with us! 

Our team will be more than happy to help you :)

Check out our Insta - @airbnb_bce",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-236481623/original/9594bf09-9f1c-438b-a5e3-4d43dfdaf3a0.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-236481623/original/9594bf09-9f1c-438b-a5e3-4d43dfdaf3a0.png?aki_policy=profile_x_medium,,52,71,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.46719,-2.5789,Entire townhouse,Entire home/apt,16,4.0,4 baths,4.0,8.0,"[""Free washer \u2013 In building"", ""Private patio or balcony"", ""Dining table"", ""Portable fans"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Refrigerator"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Single oven"", ""Outdoor dining area"", ""Pack \u2019n play/Travel crib - available upon request"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Crib"", ""Cleaning products"", ""Self check-in"", ""High chair - available upon request"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Electric stove"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$531.00,2,1125,2.0,2.0,2.0,1125.0,2.0,965.1,,t,24,54,84,357,2024-09-23,43,8,0,2021-09-06,2024-07-28,4.93,4.86,4.84,4.77,4.86,4.42,4.49,,t,46,46,0,0,1.16
898,50164199,https://www.airbnb.com/rooms/50164199,20240923134023,2024-09-23,city scrape,Charming flat with private patio in Clifton,"Our delightful flat is on the lower ground floor of a stunning Clifton townhouse, and benefits from private courtyard gardens at both the front and rear of the house. PLEASE NOTE: we can host two adults and two children! It offers the ideal balance between city living and open countryside: we are just a stone's throw from the iconic Clifton Suspension Bridge and  boutique shops, attractions and restaurants found at Clifton Village, while also bordering the greenery of the Clifton Downs.","Our delightful two bedroom flat is situated in a stunning Clifton townhouse, just a short walk away from the Clifton Suspension Bridge and a plethora of boutique shops, attractions and restaurants!",https://a0.muscache.com/pictures/prohost-api/Hosting-50164199/original/0ab5fa88-d885-4e9d-b2b1-ed1fe6efa6f5.jpeg,404843870,https://www.airbnb.com/users/show/404843870,Caroline,2021-06-02,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/d8b2b050-4015-4006-a717-45b4a0717166.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d8b2b050-4015-4006-a717-45b4a0717166.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Clifton,,51.4601,-2.62197,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,3.0,"[""Oven"", ""Dining table"", ""Hot water kettle"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""Dryer"", ""Self check-in"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating""]",$103.00,1,1125,2.0,4.0,365.0,365.0,3.4,365.0,,t,0,24,54,323,2024-09-23,88,27,0,2021-06-13,2024-08-19,4.57,4.67,4.72,4.68,4.76,4.91,4.52,,t,1,1,0,0,2.2
900,50240578,https://www.airbnb.com/rooms/50240578,20240923134023,2024-09-23,city scrape,Stunning Clifton flat in amazing central location,"Our beautifully-decorated 2 bedroom flat is located just minutes' walk from the Clifton Triangle, filled with bars, restaurants, clubs and shops!","Our beautifully-decorated 2 bedroom flat is located just minutes' walk from the Clifton Triangle, filled with bars, restaurants, clubs and shops!",https://a0.muscache.com/pictures/prohost-api/Hosting-50240578/original/7c41378b-539f-4620-aee2-36f27acd3740.jpeg,405588386,https://www.airbnb.com/users/show/405588386,Yolanta,2021-06-06,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/577474f0-771c-41c0-ac0a-e5d8dbb045fb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/577474f0-771c-41c0-ac0a-e5d8dbb045fb.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Central,,51.46161,-2.60642,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Oven"", ""Clothing storage: wardrobe"", ""Dining table"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Smoke alarm"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Dryer"", ""Free parking on premises"", ""Cleaning products"", ""Self check-in"", ""Hangers"", ""Coffee maker: espresso machine"", ""Smart lock"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$145.00,3,1125,2.0,4.0,365.0,365.0,3.4,365.0,,t,0,23,53,328,2024-09-23,168,56,6,2021-06-20,2024-09-14,4.84,4.82,4.76,4.91,4.89,4.9,4.63,,t,1,1,0,0,4.23
